month,cash_revenue,cash_expenses
1,313185.81,302501.93
2,318221.92,305649.16
3,273272.02,280019.39
4,524516.74,305138.45
5,405257.98,310964.17
6,389043.28,300741.12
7,238957.93,299153.62
8,479337.85,296629.38
9,141949.29,307272.26
10,329318.0,268295.93
11,207177.19,308285.65
12,315152.25,304863.31
13,337964.88,334974.82
14,319662.05,317926.47
15,273899.08,319969.39
16,510639.24,351449.41
17,375539.06,300447.13
18,395046.24,327362.35
19,210220.12,291922.49
20,465546.12,287978.37
21,158552.75,302424.07
22,327991.33,329377.66
23,207108.78,278581.94
24,287491.7,334612.21
25,311667.12,297517.61
26,307327.8,319199.84
27,296434.98,332000.29
28,583064.63,358465.07
29,396856.6,315963.39
30,368508.88,300569.96
31,216651.51,330548.46
32,475595.73,319033.99
33,159805.87,345496.86
34,352807.67,328505.0
35,193192.93,343040.17
36,303936.23,320454.27
